Store ID;lat;long
400;57.57379;39.867454
401;55.151523;61.390786
402;55.1841;61.4574
403;45.053583;39.015906
404;45.05954;39.017097
405;45.052908;39.016281
406;45.058097;39.008044
407;45.021263;38.969585
408;45.068881;39.01225
409;45.035842;39.006205
410;45.028184;38.990425
411;45.055953;39.010657
412;45.061313;38.972491
413;45.05822;38.981303
414;56.862152;60.652567
415;45.059851;38.982282
416;45.024053;39.066497
417;45.073831;39.024757
418;45.024486;39.065761
419;45.055451;39.022143
420;45.024291;39.068477
421;45.024896;39.036548
422;44.985841;41.95285
423;56.797134;60.609762
424;55.167046;61.41052
425;45.041102;38.989015
426;45.016895;41.932926
427;55.248934;61.400743
428;51.702626;39.185797
429;45.040924;39.092056
430;45.028661;38.972115
431;45.028781;38.977687
432;45.017945;38.960035
433;51.726337;39.199594
434;55.258155;61.385572
435;55.254945;61.397653
436;55.264294;61.389424
437;55.250916;61.381581
438;56.803909;60.577894
439;57.589762;39.860437
440;56.907626;60.589664
441;45.003165;41.920445
442;45.001239;41.917359
443;57.581542;39.911763
444;44.999915;41.915551
445;45.033324;42.017614
446;45.004266;41.913453
447;45.000476;41.916478
448;45.042046;41.99466
449;45.03962;41.993018
450;57.622642;39.88602
451;55.174835;61.340337
452;44.999058;41.920336
453;55.186562;61.284056
454;57.623716;39.859489
455;51.614145;39.236363
456;55.242078;61.378092
457;56.891683;60.592615
458;56.896278;60.624038
459;56.894067;60.610238
460;45.035322;41.946102
461;56.89202;60.614722
462;45.035783;41.938298
463;45.033504;41.930878
464;45.041119;41.950242
465;56.82172;60.58647
466;56.82887;60.589336
467;56.810148;60.515034
468;56.755792;60.756572
469;45.052465;41.992745
470;55.183888;61.397025
471;56.891982;60.591123
472;45.042636;38.961684
473;56.822866;60.543014
474;56.778863;60.641462
475;56.89381;60.636021
476;45.056047;39.022358
477;55.120778;61.375895
478;56.864722;60.647984
479;55.167025;61.521095
480;56.821717;60.570875
481;45.059415;38.965971
482;55.172557;61.399294
483;45.025444;39.108139
484;45.072379;39.022657
485;55.161911;61.388298
486;55.192564;61.393148
487;55.166981;61.293154
488;56.85556;60.628165
489;45.052499;38.958796
490;45.076634;42.016889
491;55.170665;61.374439
492;56.745744;60.568872
493;55.191829;61.32225
494;55.134133;61.424541
495;55.128207;61.433626
496;55.252386;61.387617
497;55.152;61.4155
498;56.856965;60.597614
499;55.115072;61.460835
500;45.036066;41.9635
501;45.006507;39.081575
502;45.059599;38.97808
503;56.895696;60.606292
504;56.841611;60.629508
505;56.869096;60.523032
506;55.194603;61.357087
507;56.848548;60.564432
508;56.901369;60.62724
509;56.723343;60.640173
510;56.836315;60.623731
511;56.804997;60.615041
512;56.907539;60.622237
513;56.836669;60.582303
514;56.895868;60.605233
515;56.839536;60.609642
516;56.789891;60.526353
517;56.902936;60.623494
518;56.893539;60.590674
519;56.834777;60.595748
520;56.848378;60.620598
521;56.811656;60.60849
522;56.830218;60.635594
523;56.851736;60.589813
524;56.786348;60.607377
525;56.787883;60.518894
526;56.790862;60.576577
527;56.885713;60.510383
528;56.753522;60.620812
529;56.890438;60.632337
530;56.83249;60.584414
531;56.781481;60.681099
532;56.77622;60.552978
533;56.753604;60.69997
534;56.889789;60.632753
535;56.884323;60.499166
536;56.807986;60.599095
537;56.837955;60.595066
538;51.646581;39.150994
539;56.835438;60.691716
540;56.895811;60.639047
541;56.868817;60.533216
542;57.576513;39.843295
543;45.064322;41.935995
544;45.06517;41.937132
545;55.180151;61.342802
546;45.025358;41.938419
547;56.791166;60.776834
548;55.175768;61.397256
549;45.024842;41.938076
550;45.039373;41.985318
551;45.040929;41.983331
552;56.803821;60.557687
553;45.037185;41.971717
554;55.194076;61.348321
555;55.194046;61.333258
556;55.264697;61.391183
557;55.193501;61.337678
558;56.896374;60.625273
559;55.183873;61.456893
560;51.634684;39.27644
561;55.188368;61.316854
562;55.266867;61.39629
563;45.066749;41.938928
564;57.651296;39.937967
565;55.1347;61.45304
566;57.642863;39.947479
567;57.606159;39.87985
568;57.636052;39.880062
569;56.863414;60.653508
570;45.047404;41.984441
571;56.812664;60.631375
572;51.552193;39.242477
573;55.159087;61.297939
574;45.034889;42.027812
575;45.036497;42.015592
576;56.851776;60.656676
577;56.836371;60.615439
578;56.829765;60.620091
579;56.812564;60.602902
580;56.812969;60.566464
581;56.806552;60.553765
582;56.754975;60.706051
583;56.840422;60.626732
584;56.86159;60.551731
585;56.846173;60.628571
586;56.854703;60.557555
587;56.816248;60.594919
588;56.820627;60.639242
589;56.834423;60.583634
590;56.828548;60.636212
591;56.81668;60.561207
592;56.796976;60.626748
593;56.773666;60.610132
594;56.832316;60.566726
595;56.829765;60.530917
596;56.824959;60.620843
597;56.799676;60.614483
598;56.800708;60.585337
599;56.80655;60.602223
600;56.839685;60.59363
601;56.819596;60.565512
602;56.798191;60.633653
603;56.792245;60.518733
604;56.804012;60.626311
